url,title,author,source,date_scraped,tags,strategy_id,methodology_family,instruments,timeframes,core_concepts,current_verdict,verdict_summary,tested,n_test_runs,best_sharpe,best_pf,best_win_rate_pct,failure_modes,improvement_hypotheses,code_paths,data_artifacts,agent_summary,first_logged_iso,last_updated_iso
https://docs.google.com/document/d/1i7op3dFjbl8dzT_c9QmrzD07VajNPj-0nO8RLsL-3vo,TJR Day Trading Tutorial 2025 — Smart Money Concepts,Tyler 'TJR' Robinson,youtube_transcript via google_docs,2026-04-26,SMC; ICT; discretionary; multi-timeframe; intraday; fail,tjr-smc-2025,Smart Money Concepts / ICT,SPY; ES; NQ; GBP/USD; GBP/JPY; Gold,"{""bias"": [""4h"", ""1h""], ""execution"": [""5m"", ""15m""], ""better_entry"": ""1m""}",Liquidity sweep; Break of Structure (BOS); Fair Value Gap (FVG); Order Block (OB); Breaker block; Equilibrium (50% retrace); BPR (Balance Price Range); Multi-TF state machine,FAIL,"Strategy fails to beat SPY buy-and-hold across three out-of-sample years on SPY 5m (-7.4% vs +27%). Counter-trend logic loses in trending markets. ~50% of trades time-out without resolution, indicating entries are too late. Consistent with academic literature on retail-latency ICT/SMC strategies.",True,3,-0.32,,54.2,"Counter-trend during strong trending years (2023, 2024); Late entries — 50%+ of trades time-out; FVG/OB detection has high false-positive rate at retail latency; Subjective primitives don't mechanize cleanly",Add session/kill-zone time filters (London/NY open); Add news catalyst veto (CPI/FOMC blackout); Test BPR overlap instead of single FVGs; Increase OB displacement threshold to filter false signals; Implement 1m BOS 'better entry' (not in v1); Try ATR-scaled targets instead of fixed 2R,"{""primitives"": ""strategies/smc/primitives.py"", ""structure"": ""strategies/smc/structure.py"", ""strategy"": ""strategies/smc/strategy.py"", ""backtest_runner"": ""strategies/smc/backtest_run.py"", ""config_sweep"": ""strategies/smc/sweep_configs.py""}",,"TJR's published Smart Money Concepts repackaging of ICT methodology. Multi-timeframe state machine fails on SPY 5m across 2022-2024 (Sharpe -1.0, return -7.4% vs SPY +27%). Counter-trend logic loses in trending markets; FVG/OB primitives have too many false positives at retail latency. Three years of consistent negative results. Matches academic findings on ICT/SMC mechanizability.",2026-04-26,2026-04-26
file:///Z:/Downloads/Ross Camera Day Trade Guide.docx,Ross Cameron Beginner's Day Trade Tutorial — Five-Pillar Momentum,Ross Cameron (Warrior Trading),video_transcript via word_doc,2026-04-26,momentum; small-cap; gap-and-go; warrior-trading; intraday; fail; marketing-iteration-2026,ross-cameron-five-pillar,Small-cap momentum / gap-and-go,US small-caps $1-$20; low-float news gappers,"{""scan"": ""daily premarket"", ""execution"": ""1m"", ""context"": [""10s"", ""5m"", ""daily""]}",Five Pillars stock selection; Micro-pullback (bull flag) entry; MACD + Volume filter; VWAP / 9 EMA / 20 EMA / 200 EMA; First/second pullback only rule; 9 EMA trailing exit; Three-strikes-you're-out daily limit; Halt-and-go (paused trading auctions),FAIL,Strategy 1 (universe scan) PASSes — Five-Pillar gappers have real asymmetric intraday volatility (+25.7% MFE > -15.1% MAE). Strategy 2 (mechanical execution) FAILs at realistic 100bps RT slippage on extended sample. June-only result was small-sample fluke. Stop:target ratio 2:1 indicates systematic late entry. Edge likely lives in discretionary judgment + L2 tape reading that the doc describes but doesn't mechanize.,True,3,2.18,1.34,56.2,Late entries — 'first new high after pullback' catches end of squeeze; Stop:target ratio 2:1 (26 stops vs 13 targets in extended sample); Small-cap bid/ask spreads (50-200 bps) eat mechanical edge; Universe contains pump-and-dumps without legitimate news; No news/legitimacy filter applied in v1 (Pillar 3 deferred),Strategy 6: news catalyst attribution via Polygon News API; Strategy 9: float < 5M filter via yfinance; Restrict to first 30 minutes (avoid fade phase); Try 1.5R targets vs 2R (higher win rate); Require VWAP + 9 EMA confluence at entry; LLM (Ollama qwen2.5) news triage to veto pump-and-dumps; Tighter ATR-scaled stops on entry; Test halt-and-go re-entry on resumption auction,"{""polygon_loader"": ""backtest/polygon_data.py"", ""scanner"": ""strategies/momentum/scanner.py"", ""drift_measurement"": ""strategies/momentum/drift.py"", ""execution"": ""strategies/momentum/execution.py"", ""strategy1_runner"": ""strategies/momentum/baseline_run.py"", ""strategy2_runner"": ""strategies/momentum/strategy2_run.py""}",data/momentum_drift_results.csv; data/strategy2_trades.csv,"Ross Cameron's Five-Pillar gap-and-go strategy. Universe shape is real (gappers have +25.7% mean MFE / -15.1% MAE asymmetry — Strategy 1 PASS_WITH_NUANCE) but mechanical micro-pullback execution fails at realistic 100bps RT slippage (Apr-Jun 2024: 48 trades, 39.6% WR, PF 0.75, Sharpe -2.57). Stop:target ratio of 2:1 indicates entries are too late. Slippage on $2-$10 stocks eats the edge. Edge probably exists in discretionary tape reading and L2 order flow — not mechanizable from the doc alone.",2026-04-26,2026-04-28
https://in.tradingview.com/script/ggrdrhcU-Buy-on-5-day-low-Strategy/,Botnet101 Buy on 5-Day Low,Botnet101,tradingview_pine_strategy,2026-04-26,mean-reversion; long-only; daily; Botnet101,botnet101-buy-5day-low,Long-only daily mean-reversion (Botnet101 cluster),SPY; QQQ; IWM,"{""execution"": ""1d""}",mean reversion; rolling low breach,PASS_WITH_NUANCE,"Tested across 10 (symbol, variant) combinations on major indices and sector ETFs 2010-2024. Beats benchmark on Sharpe AND MaxDD jointly with >=20 trades on 4 of 10 runs. Passing instruments: GDX, KRE, XBI, XHB. Genuine alpha on volatile sector ETFs but no edge on liquid major indices.",True,10,0.69,,71.3,Underexposed during strong trending markets (mostly in cash); High win rate but small per-trade gains; rare losers can be large; No alpha vs liquid index B&H over 15-year sample,Combine multiple signals as portfolio (lower correlation might raise Sharpe); Test on individual stocks with higher mean-reversion tendency; Stack with a trend-following overlay to capture trends + reversions; Test with leveraged ETFs (SSO/QLD) — same edge with more shares-at-work,"{""primitives"": ""strategies/mean_reversion/botnet101.py"", ""runner"": ""strategies/mean_reversion/runner.py""}",data/botnet101_mean_reversion_results.csv,"Botnet101 Buy on 5-Day Low: simple long-only mean-reversion rule on daily bars. Tested on SPY/QQQ/IWM 2010-2024, 3 runs. Verdict FAIL. Summary: SPY/buy-5day-low: CAGR 4.16% Sharpe 0.48 MaxDD -23.26%; QQQ/buy-5day-low: CAGR 5.25% Sharpe 0.52 MaxDD -22.37%; IWM/buy-5day-low: CAGR 1.74% Sharpe 0.20 MaxDD -38.91%.",2026-04-26,2026-04-26
https://in.tradingview.com/script/JLMmul3O-3-Bar-Low-Strategy/,Botnet101 3-Bar Low,Botnet101,tradingview_pine_strategy,2026-04-26,mean-reversion; long-only; daily; Botnet101,botnet101-3-bar-low,Long-only daily mean-reversion (Botnet101 cluster),SPY; QQQ; IWM,"{""execution"": ""1d""}",mean reversion; rolling low breach; trend filter,PASS_WITH_NUANCE,"Tested across 35 (symbol, variant) combinations on major indices and sector ETFs 2010-2024. Beats benchmark on Sharpe AND MaxDD jointly with >=20 trades on 7 of 35 runs. Passing instruments: GDX, KRE, XHB, XLE, XME, XOP. Genuine alpha on volatile sector ETFs but no edge on liquid major indices.",True,35,0.95,,80.0,Underexposed during strong trending markets (mostly in cash); High win rate but small per-trade gains; rare losers can be large; No alpha vs liquid index B&H over 15-year sample,"Combine multiple signals as portfolio (lower correlation might raise Sharpe); Test on individual stocks with higher mean-reversion tendency; Stack with a trend-following overlay to capture trends + reversions; Test with leveraged ETFs (SSO/QLD) — same edge with more shares-at-work; Use 3-Bar Low as a 30% defensive overlay on QQQ (back-tested: +0.02 Sharpe, -3.4% MaxDD vs pure B&H, only -0.98% CAGR cost)","{""primitives"": ""strategies/mean_reversion/botnet101.py"", ""runner"": ""strategies/mean_reversion/runner.py""}",data/botnet101_mean_reversion_results.csv,"Botnet101 3-Bar Low: simple long-only mean-reversion rule on daily bars. Tested on SPY/QQQ/IWM 2010-2024, 6 runs. Verdict FAIL. Summary: SPY/3-bar-low: CAGR 10.25% Sharpe 0.78 MaxDD -28.17%; SPY/3-bar-low-200ema: CAGR 5.74% Sharpe 0.52 MaxDD -28.13%; QQQ/3-bar-low: CAGR 14.57% Sharpe 0.92 MaxDD -25.77%; QQQ/3-bar-low-200ema: CAGR 11.50% Sharpe 0.85 MaxDD -21.56%; IWM/3-bar-low: CAGR 7.81% Sharpe 0.51 MaxDD -39.94%; IWM/3-bar-low-200ema: CAGR 1.73% Sharpe 0.19 MaxDD -38.24%.",2026-04-26,2026-04-26
https://in.tradingview.com/script/gdLxchYW-Bollinger-Bands-Reversal-IBS-Strategy/,Botnet101 Bollinger Bands Reversal + IBS,Botnet101,tradingview_pine_strategy,2026-04-26,mean-reversion; long-only; daily; Botnet101,botnet101-bb-reversal-ibs,Long-only daily mean-reversion (Botnet101 cluster),SPY; QQQ; IWM,"{""execution"": ""1d""}",mean reversion; Bollinger Bands; Internal Bar Strength,MARGINAL,"Tested across 10 (symbol, variant) combinations on major indices and sector ETFs 2010-2024. Beats benchmark on Sharpe AND MaxDD jointly with >=20 trades on 1 of 10 runs. Passing instruments: GDX. Edge on at most one or two instruments; not robust.",True,10,0.51,,69.2,Underexposed during strong trending markets (mostly in cash); High win rate but small per-trade gains; rare losers can be large; No alpha vs liquid index B&H over 15-year sample,Combine multiple signals as portfolio (lower correlation might raise Sharpe); Test on individual stocks with higher mean-reversion tendency; Stack with a trend-following overlay to capture trends + reversions; Test with leveraged ETFs (SSO/QLD) — same edge with more shares-at-work,"{""primitives"": ""strategies/mean_reversion/botnet101.py"", ""runner"": ""strategies/mean_reversion/runner.py""}",data/botnet101_mean_reversion_results.csv,"Botnet101 Bollinger Bands Reversal + IBS: simple long-only mean-reversion rule on daily bars. Tested on SPY/QQQ/IWM 2010-2024, 3 runs. Verdict FAIL. Summary: SPY/bb-reversal-ibs: CAGR 2.56% Sharpe 0.40 MaxDD -17.23%; QQQ/bb-reversal-ibs: CAGR 3.59% Sharpe 0.51 MaxDD -13.37%; IWM/bb-reversal-ibs: CAGR 0.74% Sharpe 0.14 MaxDD -21.40%.",2026-04-26,2026-04-26
https://in.tradingview.com/script/btwoIv1H-Average-High-Low-Range-IBS-Reversal-Strategy/,Botnet101 Avg High-Low Range + IBS Reversal,Botnet101,tradingview_pine_strategy,2026-04-26,mean-reversion; long-only; daily; Botnet101,botnet101-avg-hl-range-ibs,Long-only daily mean-reversion (Botnet101 cluster),SPY; QQQ; IWM,"{""execution"": ""1d""}",mean reversion; volatility-adjusted threshold; IBS,MARGINAL,"Tested across 10 (symbol, variant) combinations on major indices and sector ETFs 2010-2024. Beats benchmark on Sharpe AND MaxDD jointly with >=20 trades on 1 of 10 runs. Passing instruments: GDX. Edge on at most one or two instruments; not robust.",True,10,0.44,,76.3,Underexposed during strong trending markets (mostly in cash); High win rate but small per-trade gains; rare losers can be large; No alpha vs liquid index B&H over 15-year sample,Combine multiple signals as portfolio (lower correlation might raise Sharpe); Test on individual stocks with higher mean-reversion tendency; Stack with a trend-following overlay to capture trends + reversions; Test with leveraged ETFs (SSO/QLD) — same edge with more shares-at-work,"{""primitives"": ""strategies/mean_reversion/botnet101.py"", ""runner"": ""strategies/mean_reversion/runner.py""}",data/botnet101_mean_reversion_results.csv,"Botnet101 Avg High-Low Range + IBS Reversal: simple long-only mean-reversion rule on daily bars. Tested on SPY/QQQ/IWM 2010-2024, 3 runs. Verdict FAIL. Summary: SPY/avg-hl-range-ibs: CAGR 1.08% Sharpe 0.20 MaxDD -24.63%; QQQ/avg-hl-range-ibs: CAGR 2.51% Sharpe 0.44 MaxDD -11.91%; IWM/avg-hl-range-ibs: CAGR -1.01% Sharpe -0.08 MaxDD -32.97%.",2026-04-26,2026-04-26
https://in.tradingview.com/script/FknzA6QS-Turn-of-the-Month-Strategy-on-Steroids/,Botnet101 Turn of the Month on Steroids,Botnet101,tradingview_pine_strategy,2026-04-26,mean-reversion; long-only; daily; Botnet101; seasonality,botnet101-turn-of-month,Long-only daily mean-reversion (Botnet101 cluster),SPY; QQQ; IWM,"{""execution"": ""1d""}",seasonality; calendar anomaly; mean reversion; RSI,MARGINAL,"Tested across 10 (symbol, variant) combinations on major indices and sector ETFs 2010-2024. Beats benchmark on Sharpe AND MaxDD jointly with >=20 trades on 2 of 10 runs. Passing instruments: GDX, XME. Edge on at most one or two instruments; not robust.",True,10,0.59,,71.9,Underexposed during strong trending markets (mostly in cash); High win rate but small per-trade gains; rare losers can be large; No alpha vs liquid index B&H over 15-year sample,Combine multiple signals as portfolio (lower correlation might raise Sharpe); Test on individual stocks with higher mean-reversion tendency; Stack with a trend-following overlay to capture trends + reversions; Test with leveraged ETFs (SSO/QLD) — same edge with more shares-at-work,"{""primitives"": ""strategies/mean_reversion/botnet101.py"", ""runner"": ""strategies/mean_reversion/runner.py""}",data/botnet101_mean_reversion_results.csv,"Botnet101 Turn of the Month on Steroids: simple long-only mean-reversion rule on daily bars. Tested on SPY/QQQ/IWM 2010-2024, 3 runs. Verdict FAIL. Summary: SPY/turn-of-month-25: CAGR 3.22% Sharpe 0.55 MaxDD -14.42%; QQQ/turn-of-month-25: CAGR 2.94% Sharpe 0.35 MaxDD -28.83%; IWM/turn-of-month-25: CAGR 1.24% Sharpe 0.17 MaxDD -37.34%.",2026-04-26,2026-04-26
https://in.tradingview.com/script/gnvgnsfj-Consecutive-Bars-Above-Below-EMA-Buy-the-Dip-Strategy/,Botnet101 Consecutive Bars Below MA Buy the Dip,Botnet101,tradingview_pine_strategy,2026-04-26,mean-reversion; long-only; daily; Botnet101,botnet101-consec-below-ema,Long-only daily mean-reversion (Botnet101 cluster),SPY; QQQ; IWM,"{""execution"": ""1d""}",mean reversion; moving average; buy the dip,PASS_WITH_NUANCE,"Tested across 10 (symbol, variant) combinations on major indices and sector ETFs 2010-2024. Beats benchmark on Sharpe AND MaxDD jointly with >=20 trades on 5 of 10 runs. Passing instruments: GDX, KRE, XBI, XME, XOP. Genuine alpha on volatile sector ETFs but no edge on liquid major indices.",True,10,0.77,,71.4,Underexposed during strong trending markets (mostly in cash); High win rate but small per-trade gains; rare losers can be large; No alpha vs liquid index B&H over 15-year sample,Combine multiple signals as portfolio (lower correlation might raise Sharpe); Test on individual stocks with higher mean-reversion tendency; Stack with a trend-following overlay to capture trends + reversions; Test with leveraged ETFs (SSO/QLD) — same edge with more shares-at-work,"{""primitives"": ""strategies/mean_reversion/botnet101.py"", ""runner"": ""strategies/mean_reversion/runner.py""}",data/botnet101_mean_reversion_results.csv,"Botnet101 Consecutive Bars Below MA Buy the Dip: simple long-only mean-reversion rule on daily bars. Tested on SPY/QQQ/IWM 2010-2024, 3 runs. Verdict FAIL. Summary: SPY/consec-below-sma5: CAGR 6.30% Sharpe 0.69 MaxDD -20.09%; QQQ/consec-below-sma5: CAGR 8.42% Sharpe 0.77 MaxDD -15.13%; IWM/consec-below-sma5: CAGR 5.00% Sharpe 0.44 MaxDD -39.39%.",2026-04-26,2026-04-26
https://in.tradingview.com/script/Urz1prxd-Turn-around-Tuesday-on-Steroids-Strategy/,Botnet101 Turn-around Tuesday on Steroids,Botnet101,tradingview_pine_strategy,2026-04-26,mean-reversion; long-only; daily; Botnet101; seasonality,botnet101-turn-around-tuesday,Long-only daily mean-reversion (Botnet101 cluster),SPY; QQQ; IWM,"{""execution"": ""1d""}",seasonality; weekday anomaly; mean reversion,PASS_WITH_NUANCE,"Tested across 20 (symbol, variant) combinations on major indices and sector ETFs 2010-2024. Beats benchmark on Sharpe AND MaxDD jointly with >=20 trades on 3 of 20 runs. Passing instruments: GDX, XME, XOP. Genuine alpha on volatile sector ETFs but no edge on liquid major indices.",True,20,0.74,,74.8,Underexposed during strong trending markets (mostly in cash); High win rate but small per-trade gains; rare losers can be large; No alpha vs liquid index B&H over 15-year sample,Combine multiple signals as portfolio (lower correlation might raise Sharpe); Test on individual stocks with higher mean-reversion tendency; Stack with a trend-following overlay to capture trends + reversions; Test with leveraged ETFs (SSO/QLD) — same edge with more shares-at-work,"{""primitives"": ""strategies/mean_reversion/botnet101.py"", ""runner"": ""strategies/mean_reversion/runner.py""}",data/botnet101_mean_reversion_results.csv,"Botnet101 Turn-around Tuesday on Steroids: simple long-only mean-reversion rule on daily bars. Tested on SPY/QQQ/IWM 2010-2024, 6 runs. Verdict FAIL. Summary: SPY/turn-around-tuesday: CAGR 3.70% Sharpe 0.60 MaxDD -11.60%; SPY/turn-around-tuesday-200sma: CAGR 1.97% Sharpe 0.41 MaxDD -11.61%; QQQ/turn-around-tuesday: CAGR 5.78% Sharpe 0.74 MaxDD -12.02%; QQQ/turn-around-tuesday-200sma: CAGR 3.13% Sharpe 0.53 MaxDD -11.44%; IWM/turn-around-tuesday: CAGR 0.30% Sharpe 0.08 MaxDD -40.91%; IWM/turn-around-tuesday-200sma: CAGR 0.79% Sharpe 0.17 MaxDD -16.94%.",2026-04-26,2026-04-26
https://in.tradingview.com/script/vrqolvsm-Consecutive-Bearish-Candle-Strategy/,Botnet101 Consecutive Bearish Candle,Botnet101,tradingview_pine_strategy,2026-04-26,mean-reversion; long-only; daily; Botnet101,botnet101-consec-bearish,Long-only daily mean-reversion (Botnet101 cluster),SPY; QQQ; IWM,"{""execution"": ""1d""}",mean reversion; consecutive-down counting,PASS_WITH_NUANCE,"Tested across 10 (symbol, variant) combinations on major indices and sector ETFs 2010-2024. Beats benchmark on Sharpe AND MaxDD jointly with >=20 trades on 4 of 10 runs. Passing instruments: GDX, IWM, KRE, XHB. Genuine alpha on volatile sector ETFs but no edge on liquid major indices.",True,10,0.84,,75.1,Underexposed during strong trending markets (mostly in cash); High win rate but small per-trade gains; rare losers can be large; No alpha vs liquid index B&H over 15-year sample,Combine multiple signals as portfolio (lower correlation might raise Sharpe); Test on individual stocks with higher mean-reversion tendency; Stack with a trend-following overlay to capture trends + reversions; Test with leveraged ETFs (SSO/QLD) — same edge with more shares-at-work,"{""primitives"": ""strategies/mean_reversion/botnet101.py"", ""runner"": ""strategies/mean_reversion/runner.py""}",data/botnet101_mean_reversion_results.csv,"Botnet101 Consecutive Bearish Candle: simple long-only mean-reversion rule on daily bars. Tested on SPY/QQQ/IWM 2010-2024, 3 runs. Verdict PASS_WITH_NUANCE. Summary: SPY/consec-bearish-3: CAGR 4.21% Sharpe 0.59 MaxDD -15.83%; QQQ/consec-bearish-3: CAGR 7.73% Sharpe 0.84 MaxDD -13.09%; IWM/consec-bearish-3: CAGR 6.25% Sharpe 0.58 MaxDD -38.31%.",2026-04-26,2026-04-26
